AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code,TCAD ID,Council District,Kirwan Opportunity Index,Total Units,Total Affordable Units,Distance to High Freq. Transit,Unit Type,Housing Type,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Date Fee in Lieu Received,Fee in Lieu Status,Required Amount of Fee in Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,Funding,DDB,ERC,RNY,MDA,NBG,PUDDA,PUDDB,SMART,TOD,UNO,VMU,GO Bond 2006,GO Bond 2013,Location,Property Management Company,Phone Number,Website 
31,3280,1700 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,1700 Martin Luther King Jr Boulevard,78722,,1,Very High,2,2,>1/2 Mile,Duplex,Rental,Project Complete,2003,2023,20,,None,,0,0,0,2,0,0,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,No,No,"1700 Martin Luther King Jr Boulevard
Austin, Texas 78722
",Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/
31,3281,1804 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,1804 Martin Luther King Jr Boulevard,78722,,1,Very High,1,1,>1/2 Mile,Single Family,Rental,Project Complete,2003,2023,20,,None,,0,0,1,0,0,0,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,No,No,"1804 Martin Luther King Jr Boulevard
Austin, Texas 78722
",Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/
61,3328,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2011,2021,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3329,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2011,2021,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3330,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3331,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3332,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3333,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3334,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3335,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3336,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3337,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3338,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3339,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3340,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3341,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3342,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3343,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3344,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3345,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3346,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3347,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3348,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
