,Zip Code,GO Highest Offense Desc,UCR Description
0,78735.0,AGG ASLT ENHANC STRANGL/SUFFOC,Agg Assault
1,78701.0,THEFT                         ,Theft
2,78753.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
3,78701.0,THEFT                         ,Theft
4,78753.0,SEXUAL ASSAULT W/ OBJECT      ,Rape
5,78724.0,DEADLY CONDUCT                ,Agg Assault
6,78741.0,ROBBERY BY ASSAULT            ,Robbery
7,78741.0,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault
8,78704.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
9,78748.0,BURGLARY NON RESIDENCE        ,Burglary
10,78758.0,BURGLARY OF RESIDENCE         ,Burglary
11,78753.0,AUTO THEFT                    ,Auto Theft
12,78744.0,AUTO THEFT                    ,Auto Theft
13,78744.0,DEADLY CONDUCT                ,Agg Assault
14,78747.0,BURGLARY OF RESIDENCE         ,Burglary
15,78748.0,BURGLARY OF RESIDENCE         ,Burglary
16,78704.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
17,78756.0,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault
18,78751.0,RAPE                          ,Rape
19,78759.0,BURGLARY OF RESIDENCE         ,Burglary
20,78704.0,BURGLARY OF RESIDENCE         ,Burglary
21,78723.0,BURGLARY OF RESIDENCE         ,Burglary
22,78701.0,BURGLARY NON RESIDENCE        ,Burglary
23,78752.0,SEXUAL ASSAULT W/ OBJECT      ,Rape
24,78745.0,BURGLARY OF RESIDENCE         ,Burglary
25,78748.0,BURGLARY NON RESIDENCE        ,Burglary
26,78741.0,BURGLARY NON RESIDENCE        ,Burglary
27,78749.0,BURGLARY NON RESIDENCE        ,Burglary
28,78701.0,BURGLARY OF VEHICLE           ,Theft
29,78758.0,THEFT BY SHOPLIFTING          ,Theft
30,78744.0,BURGLARY OF VEHICLE           ,Theft
31,78748.0,THEFT                         ,Theft
32,78744.0,AUTO THEFT                    ,Auto Theft
33,78745.0,BURGLARY OF RESIDENCE         ,Burglary
