PermitTypeDesc,PermitClassMapped,PermitClass,FiscalYearIssued,OriginalZip
Driveway / Sidewalks,Residential,Res. Driveway & Sidewalk,2018,78704
Plumbing Permit,Residential,Residential,2018,78757
Plumbing Permit,Residential,R- 435 Renovations/Remodel,2018,78758
Electrical Permit,Residential,Residential,2018,78746
Plumbing Permit,Residential,R- 102 Secondary Apartment,2018,78702
Plumbing Permit,Residential,R- 435 Renovations/Remodel,2018,78759
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78741
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78754
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78744
Electrical Permit,Commercial,C-1000 Commercial Remodel,2018,78759
Plumbing Permit,Commercial,C-1001 Commercial Finish Out,2018,78701
Electrical Permit,Residential,Residential,2018,78739
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78747
Electrical Permit,Residential,Residential,2018,78758
Electrical Permit,Residential,Residential,2018,78730
Electrical Permit,Residential,Residential,2018,78725
Plumbing Permit,Residential,Residential,2018,78703
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78652
Mechanical Permit,Residential,Residential,2018,78744
Mechanical Permit,Commercial,C-1000 Commercial Remodel,2018,78758
Plumbing Permit,Residential,Residential,2018,78753
Plumbing Permit,Residential,Residential,2018,78703
Building Permit,Residential,R- 102 Secondary Apartment,2018,78745
Plumbing Permit,Residential,Residential,2018,78759
Plumbing Permit,Residential,Residential,2018,78746
Plumbing Permit,Residential,Residential,2018,78759
Plumbing Permit,Residential,R- 329 Res Structures Other Than Bldg,2018,78730
Plumbing Permit,Residential,Residential,2018,78703
Building Permit,Residential,R- 101 Single Family Houses,2018,78704
Building Permit,Residential,R- 101 Single Family Houses,2018,78745
Electrical Permit,Residential,Residential,2018,78746
Building Permit,Residential,R- 645 Demolition One Family Homes,2018,78722
Building Permit,Residential,R- 435 Renovations/Remodel,2018,78747
Building Permit,Residential,R- 435 Renovations/Remodel,2018,78758
Electrical Permit,Commercial,C-1001 Commercial Finish Out,2018,78744
Electrical Permit,Commercial,Commercial,2018,78704
Plumbing Permit,Commercial,Commercial,2018,78702
Plumbing Permit,Residential,Residential,2018,78750
Electrical Permit,Residential,Residential,2018,78745
Plumbing Permit,Residential,Residential,2018,78727
Electrical Permit,Commercial,Commercial,2018,78753
Electrical Permit,Commercial,Sign Permit,2018,78727
Electrical Permit,Commercial,Sign Permit,2018,78748
Mechanical Permit,Residential,R- 434 Addition & Alterations,2018,78757
Mechanical Permit,Residential,Residential,2018,78745
Electrical Permit,Residential,R- 434 Addition & Alterations,2018,78756
Plumbing Permit,Commercial,C - Medical Gas,2018,78758
Mechanical Permit,Residential,R- 434 Addition & Alterations,2018,78723
Driveway / Sidewalks,Residential,"Res. Driveway, Curb, Gutter",2018,78731
Driveway / Sidewalks,Residential,Res. Driveway & Sidewalk,2018,78751
Electrical Permit,Commercial,C- 329 Com Structures Other Than Bldg,2018,78652
Driveway / Sidewalks,Residential,Res. Driveway,2018,78745
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78731
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78754
Electrical Permit,Residential,R- 329 Res Structures Other Than Bldg,2018,78759
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78741
Driveway / Sidewalks,Residential,Res. Driveway,2018,78721
Building Permit,Residential,R- 101 Single Family Houses,2018,78748
Electrical Permit,Residential,R- 101 Single Family Houses,2018,78744
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78744
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78754
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78754
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78748
Electrical Permit,Residential,R- 434 Addition & Alterations,2018,78723
Driveway / Sidewalks,Residential,Res. Driveway & Sidewalk,2018,78754
Driveway / Sidewalks,Residential,Res. Driveway & Sidewalk,2018,78704
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78704
Electrical Permit,Residential,R- 101 Single Family Houses,2018,78754
Electrical Permit,Residential,R- 434 Addition & Alterations,2018,78703
Electrical Permit,Residential,R- 434 Addition & Alterations,2018,78759
Mechanical Permit,Residential,R- 434 Addition & Alterations,2018,78759
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78704
Mechanical Permit,Residential,R- 434 Addition & Alterations,2018,78757
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78756
Mechanical Permit,Commercial,C-1000 Commercial Remodel,2018,78701
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78744
Electrical Permit,Commercial,C-1000 Commercial Remodel,2018,78704
Plumbing Permit,Commercial,C-1000 Commercial Remodel,2018,78704
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78652
Building Permit,Residential,R- 101 Single Family Houses,2018,78704
Building Permit,Residential,R- 102 Secondary Apartment,2018,78704
Driveway / Sidewalks,Residential,Res. Driveway,2018,78704
Electrical Permit,Residential,R- 102 Secondary Apartment,2018,78704
Plumbing Permit,Residential,R- 102 Secondary Apartment,2018,78722
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78754
Plumbing Permit,Residential,R- 101 Single Family Houses,2018,78754
Plumbing Permit,Residential,Residential,2018,78704
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78739
Electrical Permit,Commercial,C-1000 Commercial Remodel,2018,78703
Mechanical Permit,Residential,R- 101 Single Family Houses,2018,78747
